2025-06-19 02:24:11.466 | INFO     | VehicleDetector | src.traffic_monitor.services.vehicle_detector:vehicle_detector_process:125 - [VehicleDetector] Initializing vehicle detector with model: data/models/yolo11n.pt, conf_threshold: 0.6, class_mapping: {0: 'person', 1: 'bicycle', 2: 'car', 3: 'motorcycle', 5: 'bus', 7: 'truck'}
2025-06-19 02:24:11.484 | INFO     | OCRReader       | src.traffic_monitor.utils.logging_config:setup_logging:75 - Logger initialized from setup_logging function.
2025-06-19 02:24:11.484 | INFO     | OCRReader       | src.traffic_monitor.services.ocr_reader:ocr_reader_process:72 - [OCRReader] Process OCRReader started
2025-06-19 02:24:11.511 | INFO     | LPDetector      | src.traffic_monitor.services.lp_detector:__init__:28 - [LPDetector] Model loaded successfully from data/models/plate_v8n.pt
2025-06-19 02:24:11.512 | INFO     | LPDetector      | src.traffic_monitor.services.lp_detector:lp_detector_process:79 - [LPDetectorProcess] LPDetector initialized successfully.
2025-06-19 02:24:11.526 | INFO     | VehicleDetector | src.traffic_monitor.services.vehicle_detector:__init__:31 - [VehicleDetector] YOLO model loaded successfully from: data/models/yolo11n.pt
2025-06-19 02:24:11.531 | INFO     | VehicleDetector | src.traffic_monitor.services.vehicle_detector:__init__:38 - [VehicleDetector] Initialized with conf_threshold: 0.6, class_mapping: {0: 'person', 1: 'bicycle', 2: 'car', 3: 'motorcycle', 5: 'bus', 7: 'truck'}
2025-06-19 02:24:11.531 | INFO     | VehicleDetector | src.traffic_monitor.services.vehicle_detector:vehicle_detector_process:127 - [VehicleDetector] Vehicle detector initialized.
2025-06-19 02:24:11.532 | DEBUG    | VehicleDetector | src.traffic_monitor.services.vehicle_detector:vehicle_detector_process:133 - [VehicleDetector] Attempting to get frame from input queue...
2025-06-19 02:24:11.598 | INFO     | FrameGrabber    | src.traffic_monitor.utils.logging_config:setup_logging:75 - Logger initialized from setup_logging function.
2025-06-19 02:24:11.599 | INFO     | FrameGrabber    | src.traffic_monitor.services.frame_grabber:frame_grabber_process:35 - [FrameGrabber] Frame Grabber process started. Config: {'video_source': 'data/videos/input/platetest.mp4', 'resolution': [1280, 720], 'fps_limit': 15, 'service_name': 'FrameGrabber'}
2025-06-19 02:24:11.599 | INFO     | FrameGrabber    | src.traffic_monitor.services.frame_grabber:frame_grabber_process:42 - [FrameGrabber] Attempting to open video source: data/videos/input/platetest.mp4
2025-06-19 02:24:11.612 | INFO     | Visualizer      | src.traffic_monitor.utils.logging_config:setup_logging:75 - Logger initialized from setup_logging function.
2025-06-19 02:24:11.613 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:visualize_process:162 - [Visualizer] Logger initialized for visualizer process.
2025-06-19 02:24:11.613 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:visualize_process:167 - [Visualizer] Visualizer process Visualizer started.
2025-06-19 02:24:11.614 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:visualize_process:171 - [Visualizer] Testing OpenCV GUI capabilities...
2025-06-19 02:24:11.614 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:visualize_process:175 - [Visualizer] Created test image.
2025-06-19 02:24:11.624 | INFO     | FrameGrabber    | src.traffic_monitor.services.frame_grabber:frame_grabber_process:49 - [FrameGrabber] Video source opened successfully: data/videos/input/platetest.mp4
2025-06-19 02:24:11.624 | INFO     | FrameGrabber    | src.traffic_monitor.services.frame_grabber:frame_grabber_process:72 - [FrameGrabber] Actual FPS: 60.0, Actual Width: 1920.0, Actual Height: 1080.0
2025-06-19 02:24:11.625 | INFO     | VehicleTracker  | src.traffic_monitor.utils.logging_config:setup_logging:75 - Logger initialized from setup_logging function.
2025-06-19 02:24:11.625 | INFO     | VehicleTracker  | src.traffic_monitor.services.vehicle_tracker:vehicle_tracker_process:124 - [VehicleTracker] Vehicle Tracker process started.
2025-06-19 02:24:11.628 | INFO     | VehicleTracker  | src.traffic_monitor.services.vehicle_tracker:__init__:39 - [VehicleTracker] Tracker created successfully with type: bytetrack
2025-06-19 02:24:11.629 | INFO     | VehicleTracker  | src.traffic_monitor.services.vehicle_tracker:__init__:44 - VehicleTracker class initialized with type: bytetrack
2025-06-19 02:24:11.629 | INFO     | VehicleTracker  | src.traffic_monitor.services.vehicle_tracker:vehicle_tracker_process:147 - [VehicleTracker] Vehicle tracker initialized.
2025-06-19 02:24:11.629 | DEBUG    | VehicleTracker  | src.traffic_monitor.services.vehicle_tracker:vehicle_tracker_process:153 - [VehicleTracker] Attempting to get vehicle detection message from input queue...
2025-06-19 02:24:11.634 | INFO     | VehicleCounter  | src.traffic_monitor.utils.logging_config:setup_logging:75 - Logger initialized from setup_logging function.
2025-06-19 02:24:11.634 | INFO     | VehicleCounter  | src.traffic_monitor.services.vehicle_counter:vehicle_counter_process:150 - [VehicleCounter] Process VehicleCounter started
2025-06-19 02:24:11.635 | ERROR    | VehicleCounter  | src.traffic_monitor.services.vehicle_counter:vehicle_counter_process:154 - [VehicleCounter] No counting lines configured
2025-06-19 02:24:11.635 | INFO     | VehicleCounter  | src.traffic_monitor.services.vehicle_counter:vehicle_counter_process:200 - [VehicleCounter] Process VehicleCounter shutting down
2025-06-19 02:24:11.659 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:visualize_process:179 - [Visualizer] Successfully created OpenCV window.
2025-06-19 02:24:11.661 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:visualize_process:186 - [Visualizer] Initializing visualizer...
2025-06-19 02:24:11.662 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:__init__:44 - [Visualizer] Visualizer initialized with font: 0, font scale: 0.6, font thickness: 2
